Match number,Reporting organisation,Provider Organisation,Data source,Loans,Grants
2,Australia,Australian Government,CRS,1,n/a
2,Australia,Miscellaneous,CRS,1,n/a
2,Australia - Department of Foreign Affairs and Trade [AU-5],Australia - Department of Foreign Affairs and Trade [AU-5],IATI,0,n/a
3,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,CRS,0,n/a
3,Bill & Melinda Gates Foundation [DAC-1601],Bill & Melinda Gates Foundation [DAC-1601],IATI,1,n/a
4,Canada,Global Affairs Canada,CRS,1,n/a
4,Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],IATI,0,n/a
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canada. Global Affairs Canada,IATI,n/a,n/a
4.5,Canada,International Development Research Centre,CRS,0,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Australian Centre for International Agricultural Research,IATI,n/a,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Bill & Melinda Gates Foundation,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canada. Parliament,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canadian International Development Agency,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Great Britain. Dept for International Development,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Netherlands. Ministerie van Buitenlandse Zaken,IATI,n/a,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Norwegian Agency for Development Cooperation,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],William and Flora Hewlett Foundation,IATI,1,n/a
6,"UK - Department for Business, Energy and Industrial Strategy (BEIS) [GB-GOV-13]","UK - Department for Business, Energy and Industrial Strategy (BEIS) [GB-GOV-13]",IATI,0,n/a
6,"UK - Department for Environment, Food and Rural Affairs [GB-GOV-7]","UK - Department for Environment, Food and Rural Affairs [GB-GOV-7]",IATI,0,n/a
6,"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]","UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",IATI,0,n/a
6,United Kingdom,"Department for Business, Energy and Industrial Strategy",CRS,1,n/a
6,United Kingdom,"Department for Business, Innovation and Skills",CRS,1,n/a
6,United Kingdom,Department for Environment Food and Rural Affairs,CRS,1,n/a
6,United Kingdom,Department for International Development,CRS,1,n/a
6,United Kingdom,Foreign & Commonwealth Office,CRS,1,n/a
7,Central Emergency Response Fund,Rapid Response,CRS,0,n/a
7,United Nations Central Emergency Response Fund (CERF) [XM-OCHA-CERF],United Nations Central Emergency Response Fund (CERF) [XM-OCHA-CERF],IATI,1,n/a
8,Denmark,Investment Fund For Developing Countries,CRS,n/a,0
8,Denmark,Ministry of Foreign Affairs,CRS,1,n/a
8,"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]","Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",IATI,0,n/a
9,EU Institutions,European Commission,CRS,1,n/a
9,European Commission - Humanitarian Aid & Civil Protection [XI-IATI-EC_ECHO],European Commission - Humanitarian Aid & Civil Protection [XI-IATI-EC_ECHO],IATI,0,n/a
9,European Commission - International Partnerships [XI-IATI-EC_INTPA],European Commission - International Partnerships [XI-IATI-EC_INTPA],IATI,0,n/a
9,European Commission - Service for Foreign Policy Instruments [XI-IATI-EC_FPI],European Commission - Service for Foreign Policy Instruments [XI-IATI-EC_FPI],IATI,0,n/a
10,UNFPA,UNFPA,CRS,0,n/a
10,United Nations Population Fund [41119],United Nations Population Fund [41119],IATI,n/a,n/a
11,Finland,Finnish Government,CRS,0,n/a
11,Finland,Ministry of Foreign Affairs,CRS,0,n/a
11,Finland,,CRS,n/a,0
11,Finland - Ministry for Foreign Affairs [FI-3],Finland - Ministry for Foreign Affairs [FI-3],IATI,1,n/a
12,Food and Agriculture Organisation,FAO,CRS,1,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Belgium [XM-DAC-2],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Bill Melinda Gates Foundation [XM-DAC-1601],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Canada [XM-DAC-301],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],EU Institutions [XM-DAC-42000],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],IATI,0,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Germany [XM-DAC-5],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],International Bank for Reconstruction and Develoment [XM-DAC-44000],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],International Food Policy Research Institute [XM-DAC-51001],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Ireland [XM-DAC-21],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Italy [XM-DAC-6],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Japan [XM-DAC-701],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Multilateral,IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Netherlands - Ministry of Foreign Affairs [XM-DAC-7],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],No data,IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Spain [XM-DAC-50],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Standards and Trade Development Facility in SPS Measures,IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Sweden [XM-DAC-10],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Switzerland [XM-DAC-11],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Kingdom [XM-DAC-12],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Children's Fund (UNICEF) [XM-DAC-41122],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Development Programme (UNDP) [XM-DAC-41114],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Industrial Development Organization (UNIDO) [XM-DAC-41123],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Office for the Coordination of Humanitarian Affairs (OCHA) [XM-DAC-41127],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations World Food Programme (WFP) [XM-DAC-41140],IATI,n/a,n/a
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United States [XM-DAC-302],IATI,n/a,n/a
13,France,Ministry of Foreign Affairs,CRS,0,n/a
13,France - Ministry for Europe and Foreign Affairs [FR-6],France - Ministry for Europe and Foreign Affairs [FR-6],IATI,n/a,n/a
13.5,Agence Française de Développement [FR-3],Agence Française de Développement [FR-3],IATI,1,n/a
13.5,France,French Development Agency,CRS,0,0
14,"Gavi, the vaccine alliance [47122]","Gavi, the vaccine alliance [47122]",IATI,1,n/a
14,"Gavi, the vaccine alliance [47122]",United Nations Children's Fund (UNICEF) [XM-DAC-41122],IATI,1,n/a
14,Global Alliance for Vaccines and Immunization,GAVI,CRS,0,n/a
15,Germany,Foreign Office,CRS,0,n/a
15,Germany - Federal Foreign Office [XM-DAC-5-7],Germany - Federal Foreign Office [XM-DAC-5-7],IATI,1,n/a
15.5,Germany,Bundesministerium f³r Wirtschaftliche Zusammenarbeit und Entwicklung,CRS,0,n/a
15.5,Germany,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,CRS,0,n/a
15.5,Germany - Ministry for Economic Cooperation and Development [DE-1],Germany - Ministry for Economic Cooperation and Development [DE-1],IATI,1,n/a
16,Global Fund,Global Fund,CRS,1,n/a
16,"The Global Fund to Fight AIDS, Tuberculosis and Malaria [47045]","The Global Fund to Fight AIDS, Tuberculosis and Malaria [47045]",IATI,0,n/a
17,IFAD,IFAD,CRS,1,1
17,International Fund for Agricultural Development (IFAD) [XM-DAC-41108],International Fund for Agricultural Development (IFAD) [XM-DAC-41108],IATI,0,0
18,International Development Association,IDA,CRS,0,1
18,The World Bank [44000],International Development Association [44002],IATI,n/a,0
18,The World Bank [44000],International Development Association [44002],IATI,n/a,0
19,International Finance Corporation,International Finance Corporation,CRS,n/a,1
19,International Finance Corporation [XM-DAC-903],International Finance Corporation [XM-DAC-903],IATI,n/a,0
20,International Labour Organisation,Regular Budget (excluding technical co-operation),CRS,1,n/a
20,International Labour Organisation,Regular Budget Supplementary Account,CRS,1,n/a
20,International Labour Organisation,Regular Budget Technical Cooperation,CRS,1,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Delegation of the European Union to Ethiopia,IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Delegation of the European Union to Ethiopia ,IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Delegation of the European Union to Ethiopia [tbc],IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],European Commission - International Cooperation and Development [XI-IATI-EC_DEVCO],IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],"Germany, Junior Professional Programme",IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],H&M Hennes & Mauritz AB ,IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],International Labour Organization (ILO) [XM-DAC-41302],IATI,0,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Ireland - Department of Foreign Affairs and Trade [XM-DAC-21-1],IATI,n/a,n/a
20,G,Multi-donor funding to SCORE (SECO & NORAD),IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Multi-donor funding to the Vision Zero Fund,IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Multi-donor support for Better Work,IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Multiple subscriptions Better Work,IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],"Netherlands, Junior Professional Programme ",IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],Norad - Norwegian Agency for Development Cooperation [NO-BRC-971277882],IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],"Sweden, through Swedish International Development Cooperation Agency (Sida) [SE-0]",IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],The OPEC Fund for International Development (OFID) [XI-IATI-OFID],IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],UN Pooled Funds [XI-IATI-UNPF],IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],"United Kingdom, Department for International Development ",IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],United Nations Capital Development Fund [XM-DAC-41111],IATI,n/a,n/a
20,International Labour Organization (ILO) [XM-DAC-41302],United Nations High Commissioner for Refugees ,IATI,n/a,n/a
21,Ireland,Department of Foreign Affairs,CRS,0,n/a
21,Ireland - Department of Foreign Affairs and Trade [XM-DAC-21-1],Ireland - Department of Foreign Affairs and Trade [XM-DAC-21-1],IATI,0,n/a
22,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development [XM-DAC-6-4],AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development [XM-DAC-6-4],IATI,0,n/a
22,Italy,Direzione Generale per la Cooperazione allo Sviluppo,CRS,0,n/a
23,Japan,Ministry of Foreign Affairs,CRS,0,n/a
23,Japan,Prefectures,CRS,0,n/a
23,Ministry of Foreign Affairs of Japan [XM-DAC-701-2],Ministry of Foreign Affairs [JP-2],IATI,n/a,n/a
24,Japan,Japanese International Co-operation Agency,CRS,0,1
24,Ministry of Foreign Affairs of Japan [XM-DAC-701-2],Japan International Cooperation Agency [JP-8],IATI,n/a,0
24.4,Korea,Export-Import Bank of Korea,CRS,0,0
24.4,Korea,Korea International Cooperation Agency,CRS,0,n/a
24.4,Korea,Ministry of Foreign Affairs and Trade,CRS,0,n/a
24.4,Korea,Ministry of Strategy and Finance,CRS,0,n/a
24.4,Korea,Miscellaneous,CRS,0,n/a
25,"Ministry of education, science, research and sport of the Slovak republic [XM-DAC-69-4]","Ministry of education, science, research and sport of the Slovak republic [XM-DAC-69-4]",IATI,1,n/a
25,Slovak Aid [XM-DAC-69-2],Slovak Aid [XM-DAC-69-2],IATI,1,n/a
25,Slovak Republic,"Ministry of Education, Science, Rese (MSVVS)",CRS,0,n/a
25,Slovak Republic,Slovak Agency for International Deve (SAMRS),CRS,0,n/a
25,Slovak Republic,Ministry of Foreign and European Affairs (MZVaEZ),CRS,0,n/a
26,Ministry of Foreign and European Affairs of the Slovak Republic [XM-DAC-69-1],Ministry of Foreign and European Affairs of the Slovak Republic [XM-DAC-69-1],IATI,0,n/a
26,Netherlands,Ministry of Foreign Affairs of the Netherlands,CRS,1,n/a
26,Netherlands - Ministry of Foreign Affairs [XM-DAC-7],Netherlands - Ministry of Foreign Affairs [XM-DAC-7],IATI,0,n/a
27,New Zealand,Ministry of Foreign Affairs and Trade,CRS,0,n/a
27,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],IATI,1,n/a
28,Norad - Norwegian Agency for Development Cooperation [NO-BRC-971277882],Norad - Norwegian Agency for Development Cooperation [NO-BRC-971277882],IATI,1,n/a
28,Norad - Norwegian Agency for Development Cooperation [NO-BRC-971277882],Norwegian Ministry of Foreign Affairs - Embassies,IATI,1,n/a
28,Norway,Ministry of Foreign Affairs,CRS,0,n/a
28,Norway,Norwegian Agency for Development Co-operation,CRS,0,n/a
30,Spain,Ministry of Economy and Business,CRS,0,1
30,Spain,Ministry of Industry and Energy,CRS,0,1
30,Spain,"Ministry of Labour, Migration and Social Security",CRS,0,n/a
30,Spain,Spanish Agency for International Development Co-operation,CRS,0,n/a
30,Spain - Ministry of Foreign Affairs and Cooperation [ES-DIR3-E04585801],Spain - Ministry of Foreign Affairs and Cooperation [ES-DIR3-E04585801],IATI,1,0
30,Spanish Agency for International Development Cooperation (AECID) [ES-DIR3-EA0035768],Spanish Agency for International Development Cooperation (AECID) [ES-DIR3-EA0035768],IATI,1,n/a
31,Sweden,Ministry of Foreign Affairs,CRS,1,n/a
31,Sweden,Swedish Council for Higher Education,CRS,1,n/a
31,Sweden,Swedish Institute,CRS,1,n/a
31,Sweden,Swedish International Development Authority,CRS,1,n/a
31,Sweden,The Swedish Research Council,CRS,1,n/a
31,"Sweden, through Swedish International Development Cooperation Agency (Sida) [SE-0]","Sweden, through Swedish International Development Cooperation Agency (Sida) [SE-0]",IATI,0,0
32,Switzerland,Swiss Agency for Development and Co-operation,CRS,0,n/a
32,Switzerland - Swiss Agency for Development and Cooperation (SDC) [CH-4],Switzerland - Swiss Agency for Development and Cooperation (SDC) [CH-4],IATI,1,n/a
33,UNAIDS,UNAIDS,CRS,1,n/a
33,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS) [XM-DAC-41110],United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS) [XM-DAC-41110],IATI,0,n/a
34,UNDP,UNDP,CRS,1,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],African Development Bank [46002],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Agence Française de Développement [FR-3],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],AGENCIA ESPANOLA DE COOPERACION INTERNACIONAL [10216],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Australia - Department of Foreign Affairs and Trade [AU-5],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Austrian Development Agency [11266],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Bill & Melinda Gates Foundation [DAC-1601],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Canada Department of Finance / Ministère des Finances Canada [CA-4],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],EUROPEAN COMMISSION [10159],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Finland - Ministry for Foreign Affairs [FI-3],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Germany - Ministry for Economic Cooperation and Development [DE-1],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],GOVERNMENT OF DENMARK [DK-1],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],GOVERNMENT OF ETHIOPIA [00106],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],GOVERNMENT OF LUXEMBOURG [00155],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],GOVERNMENT OF NORWAY [00187],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Ireland - Department of Foreign Affairs and Trade [XM-DAC-21-1],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Italian Ministry for Foreign Affairs [11227],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Japan International Cooperation Agency (JICA) [XM-DAC-701-8],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],MDTFO/JP_Ethiopia_One_UN_Fund [11605],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],"MINISTRY OF FOREIGN AFFAIRS, NORWAY [10503]",IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],MPTF-Ethiopia New Way Platform (ETH00) [13123],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],MPTFO - Ethiopia Climate Resilient Green Economy Facility [12827],IATI,n/a,n/a
34,United Nations Development Programme (UNDP) [XM-DAC-41114],Netherlands - Ministry of Foreign Affairs [XM-DAC-7],IATI,n/a,n/a
